,index,architecture,theta1,theta2,k1,k2,loss
0,0,Downstream Activation,0.001,8.889,1e-07,0.00033339999999999997,0.4954718033692218
0,0,Downstream Activation,0.001,10.0,1e-07,0.00033339999999999997,0.49542197995045995
0,0,Downstream Activation,1.1119999999999999,0.001,1e-07,0.00033339999999999997,0.6468677207296436
0,0,Downstream Activation,1.1119999999999999,1.1119999999999999,1e-07,0.00033339999999999997,0.49776859746166213
0,0,Downstream Activation,1.1119999999999999,2.223,1e-07,0.00033339999999999997,0.49660926092152136
0,0,Downstream Activation,1.1119999999999999,3.334,1e-07,0.00033339999999999997,0.49614835061634716
0,0,Downstream Activation,1.1119999999999999,4.445,1e-07,0.00033339999999999997,0.49589409286371733
0,0,Downstream Activation,1.1119999999999999,5.556,1e-07,0.00033339999999999997,0.4957315312944136
0,0,Downstream Activation,1.1119999999999999,6.667000000000001,1e-07,0.00033339999999999997,0.49561841708942095
0,0,Downstream Activation,1.1119999999999999,7.7780000000000005,1e-07,0.00033339999999999997,0.4955352787933265
0,0,Downstream Activation,1.1119999999999999,8.889,1e-07,0.00033339999999999997,0.4954718033692218
0,0,Downstream Activation,1.1119999999999999,10.0,1e-07,0.00033339999999999997,0.49542197995045995
0,0,Downstream Activation,2.223,0.001,1e-07,0.00033339999999999997,0.6468677207296436
0,0,Downstream Activation,2.223,1.1119999999999999,1e-07,0.00033339999999999997,0.49776859746166213
0,0,Downstream Activation,2.223,2.223,1e-07,0.00033339999999999997,0.49660926092152136
0,0,Downstream Activation,2.223,3.334,1e-07,0.00033339999999999997,0.49614835061634716
0,0,Downstream Activation,2.223,4.445,1e-07,0.00033339999999999997,0.49589409286371733
0,0,Downstream Activation,2.223,5.556,1e-07,0.00033339999999999997,0.4957315312944136
0,0,Downstream Activation,2.223,6.667000000000001,1e-07,0.00033339999999999997,0.49561841708942095
0,0,Downstream Activation,2.223,7.7780000000000005,1e-07,0.00033339999999999997,0.4955352787933265
0,0,Downstream Activation,2.223,8.889,1e-07,0.00033339999999999997,0.4954718033692218
0,0,Downstream Activation,2.223,10.0,1e-07,0.00033339999999999997,0.49542197995045995
0,0,Downstream Activation,3.334,0.001,1e-07,0.00033339999999999997,0.6468677207296436
0,0,Downstream Activation,3.334,1.1119999999999999,1e-07,0.00033339999999999997,0.49776859746166213
0,0,Downstream Activation,3.334,2.223,1e-07,0.00033339999999999997,0.49660926092152136
0,0,Downstream Activation,3.334,3.334,1e-07,0.00033339999999999997,0.49614835061634716
0,0,Downstream Activation,3.334,4.445,1e-07,0.00033339999999999997,0.49589409286371733
0,0,Downstream Activation,3.334,5.556,1e-07,0.00033339999999999997,0.4957315312944136
0,0,Downstream Activation,3.334,6.667000000000001,1e-07,0.00033339999999999997,0.49561841708942095
0,0,Downstream Activation,3.334,7.7780000000000005,1e-07,0.00033339999999999997,0.4955352787933265
0,0,Downstream Activation,3.334,8.889,1e-07,0.00033339999999999997,0.4954718033692218
0,0,Downstream Activation,3.334,10.0,1e-07,0.00033339999999999997,0.49542197995045995
0,0,Downstream Activation,4.445,0.001,1e-07,0.00033339999999999997,0.6468677207296436
0,0,Downstream Activation,4.445,1.1119999999999999,1e-07,0.00033339999999999997,0.49776859746166213
0,0,Downstream Activation,4.445,2.223,1e-07,0.00033339999999999997,0.49660926092152136
0,0,Downstream Activation,4.445,3.334,1e-07,0.00033339999999999997,0.49614835061634716
0,0,Downstream Activation,4.445,4.445,1e-07,0.00033339999999999997,0.49589409286371733
0,0,Downstream Activation,4.445,5.556,1e-07,0.00033339999999999997,0.4957315312944136
0,0,Downstream Activation,4.445,6.667000000000001,1e-07,0.00033339999999999997,0.49561841708942095
0,0,Downstream Activation,4.445,7.7780000000000005,1e-07,0.00033339999999999997,0.4955352787933265
0,0,Downstream Activation,4.445,8.889,1e-07,0.00033339999999999997,0.4954718033692218
0,0,Downstream Activation,4.445,10.0,1e-07,0.00033339999999999997,0.49542197995045995
0,0,Downstream Activation,5.556,0.001,1e-07,0.00033339999999999997,0.6468677207296436
0,0,Downstream Activation,5.556,1.1119999999999999,1e-07,0.00033339999999999997,0.49776859746166213
0,0,Downstream Activation,5.556,2.223,1e-07,0.00033339999999999997,0.49660926092152136
0,0,Downstream Activation,5.556,3.334,1e-07,0.00033339999999999997,0.49614835061634716
0,0,Downstream Activation,5.556,4.445,1e-07,0.00033339999999999997,0.49589409286371733
0,0,Downstream Activation,5.556,5.556,1e-07,0.00033339999999999997,0.4957315312944136
0,0,Downstream Activation,5.556,6.667000000000001,1e-07,0.00033339999999999997,0.49561841708942095
0,0,Downstream Activation,5.556,7.7780000000000005,1e-07,0.00033339999999999997,0.4955352787933265
0,0,Downstream Activation,5.556,8.889,1e-07,0.00033339999999999997,0.4954718033692218
0,0,Downstream Activation,5.556,10.0,1e-07,0.00033339999999999997,0.49542197995045995
0,0,Downstream Activation,6.667000000000001,0.001,1e-07,0.00033339999999999997,0.6468677207296436
0,0,Downstream Activation,6.667000000000001,1.1119999999999999,1e-07,0.00033339999999999997,0.49776859746166213
0,0,Downstream Activation,6.667000000000001,2.223,1e-07,0.00033339999999999997,0.49660926092152136
0,0,Downstream Activation,6.667000000000001,3.334,1e-07,0.00033339999999999997,0.49614835061634716
0,0,Downstream Activation,6.667000000000001,4.445,1e-07,0.00033339999999999997,0.49589409286371733
0,0,Downstream Activation,6.667000000000001,5.556,1e-07,0.00033339999999999997,0.4957315312944136
0,0,Downstream Activation,6.667000000000001,6.667000000000001,1e-07,0.00033339999999999997,0.49561841708942095
0,0,Downstream Activation,6.667000000000001,7.7780000000000005,1e-07,0.00033339999999999997,0.4955352787933265
0,0,Downstream Activation,6.667000000000001,8.889,1e-07,0.00033339999999999997,0.4954718033692218
0,0,Downstream Activation,6.667000000000001,10.0,1e-07,0.00033339999999999997,0.49542197995045995
0,0,Downstream Activation,7.7780000000000005,0.001,1e-07,0.00033339999999999997,0.6468677207296436
0,0,Downstream Activation,7.7780000000000005,1.1119999999999999,1e-07,0.00033339999999999997,0.49776859746166213
0,0,Downstream Activation,7.7780000000000005,2.223,1e-07,0.00033339999999999997,0.49660926092152136
0,0,Downstream Activation,7.7780000000000005,3.334,1e-07,0.00033339999999999997,0.49614835061634716
0,0,Downstream Activation,7.7780000000000005,4.445,1e-07,0.00033339999999999997,0.49589409286371733
0,0,Downstream Activation,7.7780000000000005,5.556,1e-07,0.00033339999999999997,0.4957315312944136
0,0,Downstream Activation,7.7780000000000005,6.667000000000001,1e-07,0.00033339999999999997,0.49561841708942095
0,0,Downstream Activation,7.7780000000000005,7.7780000000000005,1e-07,0.00033339999999999997,0.4955352787933265
0,0,Downstream Activation,7.7780000000000005,8.889,1e-07,0.00033339999999999997,0.4954718033692218
0,0,Downstream Activation,7.7780000000000005,10.0,1e-07,0.00033339999999999997,0.49542197995045995
0,0,Downstream Activation,8.889,0.001,1e-07,0.00033339999999999997,0.6468677207296436
0,0,Downstream Activation,8.889,1.1119999999999999,1e-07,0.00033339999999999997,0.49776859746166213
0,0,Downstream Activation,8.889,2.223,1e-07,0.00033339999999999997,0.49660926092152136
0,0,Downstream Activation,8.889,3.334,1e-07,0.00033339999999999997,0.49614835061634716
0,0,Downstream Activation,8.889,4.445,1e-07,0.00033339999999999997,0.49589409286371733
0,0,Downstream Activation,8.889,5.556,1e-07,0.00033339999999999997,0.4957315312944136
0,0,Downstream Activation,8.889,6.667000000000001,1e-07,0.00033339999999999997,0.49561841708942095
0,0,Downstream Activation,8.889,7.7780000000000005,1e-07,0.00033339999999999997,0.4955352787933265
0,0,Downstream Activation,8.889,8.889,1e-07,0.00033339999999999997,0.4954718033692218
0,0,Downstream Activation,8.889,10.0,1e-07,0.00033339999999999997,0.49542197995045995
0,0,Downstream Activation,10.0,0.001,1e-07,0.00033339999999999997,0.6468677207296436
0,0,Downstream Activation,10.0,1.1119999999999999,1e-07,0.00033339999999999997,0.49776859746166213
0,0,Downstream Activation,10.0,2.223,1e-07,0.00033339999999999997,0.49660926092152136
0,0,Downstream Activation,10.0,3.334,1e-07,0.00033339999999999997,0.49614835061634716
0,0,Downstream Activation,10.0,4.445,1e-07,0.00033339999999999997,0.49589409286371733
0,0,Downstream Activation,10.0,5.556,1e-07,0.00033339999999999997,0.4957315312944136
0,0,Downstream Activation,10.0,6.667000000000001,1e-07,0.00033339999999999997,0.49561841708942095
0,0,Downstream Activation,10.0,7.7780000000000005,1e-07,0.00033339999999999997,0.4955352787933265
0,0,Downstream Activation,10.0,8.889,1e-07,0.00033339999999999997,0.4954718033692218
0,0,Downstream Activation,10.0,10.0,1e-07,0.00033339999999999997,0.49542197995045995
0,0,Downstream Activation,0.001,0.001,1e-07,0.00044449999999999996,0.6876303873730097
0,0,Downstream Activation,0.001,1.1119999999999999,1e-07,0.00044449999999999996,0.49809152376905463
0,0,Downstream Activation,0.001,2.223,1e-07,0.00044449999999999996,0.49680941788384225
0,0,Downstream Activation,0.001,3.334,1e-07,0.00044449999999999996,0.4962983515400302
0,0,Downstream Activation,0.001,4.445,1e-07,0.00044449999999999996,0.49601542995583536
0,0,Downstream Activation,0.001,5.556,1e-07,0.00044449999999999996,0.4958337834982284
0,0,Downstream Activation,0.001,6.667000000000001,1e-07,0.00044449999999999996,0.4957067795887999
0,0,Downstream Activation,0.001,7.7780000000000005,1e-07,0.00044449999999999996,0.4956129281442049
0,0,Downstream Activation,0.001,8.889,1e-07,0.00044449999999999996,0.49554084064757514
0,0,Downstream Activation,0.001,10.0,1e-07,0.00044449999999999996,0.4954838755677149
0,0,Downstream Activation,1.1119999999999999,0.001,1e-07,0.00044449999999999996,0.6876303873730097
0,0,Downstream Activation,1.1119999999999999,1.1119999999999999,1e-07,0.00044449999999999996,0.49809152376905463
0,0,Downstream Activation,1.1119999999999999,2.223,1e-07,0.00044449999999999996,0.49680941788384225
0,0,Downstream Activation,1.1119999999999999,3.334,1e-07,0.00044449999999999996,0.4962983515400302
0,0,Downstream Activation,1.1119999999999999,4.445,1e-07,0.00044449999999999996,0.49601542995583536
0,0,Downstream Activation,1.1119999999999999,5.556,1e-07,0.00044449999999999996,0.4958337834982284
0,0,Downstream Activation,1.1119999999999999,6.667000000000001,1e-07,0.00044449999999999996,0.4957067795887999
0,0,Downstream Activation,1.1119999999999999,7.7780000000000005,1e-07,0.00044449999999999996,0.4956129281442049
0,0,Downstream Activation,1.1119999999999999,8.889,1e-07,0.00044449999999999996,0.49554084064757514
0,0,Downstream Activation,1.1119999999999999,10.0,1e-07,0.00044449999999999996,0.4954838755677149
0,0,Downstream Activation,2.223,0.001,1e-07,0.00044449999999999996,0.6876303873730097
0,0,Downstream Activation,2.223,1.1119999999999999,1e-07,0.00044449999999999996,0.49809152376905463
0,0,Downstream Activation,2.223,2.223,1e-07,0.00044449999999999996,0.49680941788384225
0,0,Downstream Activation,2.223,3.334,1e-07,0.00044449999999999996,0.4962983515400302
0,0,Downstream Activation,2.223,4.445,1e-07,0.00044449999999999996,0.49601542995583536
0,0,Downstream Activation,2.223,5.556,1e-07,0.00044449999999999996,0.4958337834982284
0,0,Downstream Activation,2.223,6.667000000000001,1e-07,0.00044449999999999996,0.4957067795887999
0,0,Downstream Activation,2.223,7.7780000000000005,1e-07,0.00044449999999999996,0.4956129281442049
0,0,Downstream Activation,2.223,8.889,1e-07,0.00044449999999999996,0.49554084064757514
0,0,Downstream Activation,2.223,10.0,1e-07,0.00044449999999999996,0.4954838755677149
0,0,Downstream Activation,3.334,0.001,1e-07,0.00044449999999999996,0.6876303873730097
0,0,Downstream Activation,3.334,1.1119999999999999,1e-07,0.00044449999999999996,0.49809152376905463
0,0,Downstream Activation,3.334,2.223,1e-07,0.00044449999999999996,0.49680941788384225
0,0,Downstream Activation,3.334,3.334,1e-07,0.00044449999999999996,0.4962983515400302
0,0,Downstream Activation,3.334,4.445,1e-07,0.00044449999999999996,0.49601542995583536
0,0,Downstream Activation,3.334,5.556,1e-07,0.00044449999999999996,0.4958337834982284
0,0,Downstream Activation,3.334,6.667000000000001,1e-07,0.00044449999999999996,0.4957067795887999
0,0,Downstream Activation,3.334,7.7780000000000005,1e-07,0.00044449999999999996,0.4956129281442049
0,0,Downstream Activation,3.334,8.889,1e-07,0.00044449999999999996,0.49554084064757514
0,0,Downstream Activation,3.334,10.0,1e-07,0.00044449999999999996,0.4954838755677149
0,0,Downstream Activation,4.445,0.001,1e-07,0.00044449999999999996,0.6876303873730097
0,0,Downstream Activation,4.445,1.1119999999999999,1e-07,0.00044449999999999996,0.49809152376905463
0,0,Downstream Activation,4.445,2.223,1e-07,0.00044449999999999996,0.49680941788384225
0,0,Downstream Activation,4.445,3.334,1e-07,0.00044449999999999996,0.4962983515400302
0,0,Downstream Activation,4.445,4.445,1e-07,0.00044449999999999996,0.49601542995583536
0,0,Downstream Activation,4.445,5.556,1e-07,0.00044449999999999996,0.4958337834982284
0,0,Downstream Activation,4.445,6.667000000000001,1e-07,0.00044449999999999996,0.4957067795887999
0,0,Downstream Activation,4.445,7.7780000000000005,1e-07,0.00044449999999999996,0.4956129281442049
0,0,Downstream Activation,4.445,8.889,1e-07,0.00044449999999999996,0.49554084064757514
0,0,Downstream Activation,4.445,10.0,1e-07,0.00044449999999999996,0.4954838755677149
0,0,Downstream Activation,5.556,0.001,1e-07,0.00044449999999999996,0.6876303873730097
0,0,Downstream Activation,5.556,1.1119999999999999,1e-07,0.00044449999999999996,0.49809152376905463
0,0,Downstream Activation,5.556,2.223,1e-07,0.00044449999999999996,0.49680941788384225
0,0,Downstream Activation,5.556,3.334,1e-07,0.00044449999999999996,0.4962983515400302
0,0,Downstream Activation,5.556,4.445,1e-07,0.00044449999999999996,0.49601542995583536
0,0,Downstream Activation,5.556,5.556,1e-07,0.00044449999999999996,0.4958337834982284
0,0,Downstream Activation,5.556,6.667000000000001,1e-07,0.00044449999999999996,0.4957067795887999
0,0,Downstream Activation,5.556,7.7780000000000005,1e-07,0.00044449999999999996,0.4956129281442049
0,0,Downstream Activation,5.556,8.889,1e-07,0.00044449999999999996,0.49554084064757514
0,0,Downstream Activation,5.556,10.0,1e-07,0.00044449999999999996,0.4954838755677149
0,0,Downstream Activation,6.667000000000001,0.001,1e-07,0.00044449999999999996,0.6876303873730097
0,0,Downstream Activation,6.667000000000001,1.1119999999999999,1e-07,0.00044449999999999996,0.49809152376905463
0,0,Downstream Activation,6.667000000000001,2.223,1e-07,0.00044449999999999996,0.49680941788384225
0,0,Downstream Activation,6.667000000000001,3.334,1e-07,0.00044449999999999996,0.4962983515400302
0,0,Downstream Activation,6.667000000000001,4.445,1e-07,0.00044449999999999996,0.49601542995583536
0,0,Downstream Activation,6.667000000000001,5.556,1e-07,0.00044449999999999996,0.4958337834982284
0,0,Downstream Activation,6.667000000000001,6.667000000000001,1e-07,0.00044449999999999996,0.4957067795887999
0,0,Downstream Activation,6.667000000000001,7.7780000000000005,1e-07,0.00044449999999999996,0.4956129281442049
0,0,Downstream Activation,6.667000000000001,8.889,1e-07,0.00044449999999999996,0.49554084064757514
0,0,Downstream Activation,6.667000000000001,10.0,1e-07,0.00044449999999999996,0.4954838755677149
0,0,Downstream Activation,7.7780000000000005,0.001,1e-07,0.00044449999999999996,0.6876303873730097
0,0,Downstream Activation,7.7780000000000005,1.1119999999999999,1e-07,0.00044449999999999996,0.49809152376905463
0,0,Downstream Activation,7.7780000000000005,2.223,1e-07,0.00044449999999999996,0.49680941788384225
0,0,Downstream Activation,7.7780000000000005,3.334,1e-07,0.00044449999999999996,0.4962983515400302
0,0,Downstream Activation,7.7780000000000005,4.445,1e-07,0.00044449999999999996,0.49601542995583536
0,0,Downstream Activation,7.7780000000000005,5.556,1e-07,0.00044449999999999996,0.4958337834982284
0,0,Downstream Activation,7.7780000000000005,6.667000000000001,1e-07,0.00044449999999999996,0.4957067795887999
0,0,Downstream Activation,7.7780000000000005,7.7780000000000005,1e-07,0.00044449999999999996,0.4956129281442049
0,0,Downstream Activation,7.7780000000000005,8.889,1e-07,0.00044449999999999996,0.49554084064757514
0,0,Downstream Activation,7.7780000000000005,10.0,1e-07,0.00044449999999999996,0.4954838755677149
0,0,Downstream Activation,8.889,0.001,1e-07,0.00044449999999999996,0.6876303873730097
0,0,Downstream Activation,8.889,1.1119999999999999,1e-07,0.00044449999999999996,0.49809152376905463
0,0,Downstream Activation,8.889,2.223,1e-07,0.00044449999999999996,0.49680941788384225
0,0,Downstream Activation,8.889,3.334,1e-07,0.00044449999999999996,0.4962983515400302
0,0,Downstream Activation,8.889,4.445,1e-07,0.00044449999999999996,0.49601542995583536
0,0,Downstream Activation,8.889,5.556,1e-07,0.00044449999999999996,0.4958337834982284
0,0,Downstream Activation,8.889,6.667000000000001,1e-07,0.00044449999999999996,0.4957067795887999
0,0,Downstream Activation,8.889,7.7780000000000005,1e-07,0.00044449999999999996,0.4956129281442049
0,0,Downstream Activation,8.889,8.889,1e-07,0.00044449999999999996,0.49554084064757514
0,0,Downstream Activation,8.889,10.0,1e-07,0.00044449999999999996,0.4954838755677149
0,0,Downstream Activation,10.0,0.001,1e-07,0.00044449999999999996,0.6876303873730097
0,0,Downstream Activation,10.0,1.1119999999999999,1e-07,0.00044449999999999996,0.49809152376905463
0,0,Downstream Activation,10.0,2.223,1e-07,0.00044449999999999996,0.49680941788384225
0,0,Downstream Activation,10.0,3.334,1e-07,0.00044449999999999996,0.4962983515400302
0,0,Downstream Activation,10.0,4.445,1e-07,0.00044449999999999996,0.49601542995583536
0,0,Downstream Activation,10.0,5.556,1e-07,0.00044449999999999996,0.4958337834982284
0,0,Downstream Activation,10.0,6.667000000000001,1e-07,0.00044449999999999996,0.4957067795887999
